Slant cell length,Cell thickness,Cell angle,Vertical cell length,Poisson's ratio
20,2.6,70,75,-0.2048133
20,2.8,70,75,-0.20468647
20,3,70,75,-0.20402157
20,3.2,70,75,-0.201403
20,3.4,70,75,-0.19865543
4,2,70,80,0.01585483
4,2.2,70,80,0.0182373
4,2.4,70,80,0.0201751
4,2.6,70,80,0.0230978
4,2.8,70,80,0.0259332
4,3,70,80,0.0291484
4,3.2,70,80,0.03211771
4,3.4,70,80,0.0353251
6,2,70,80,0.0243792
6,2.2,70,80,0.01879435
6,2.4,70,80,0.01883267
6,2.6,70,80,0.02104668
6,2.8,70,80,0.02309276
6,3,70,80,0.02612491
6,3.2,70,80,0.02907995
6,3.4,70,80,0.0322786
8,2,70,80,0.04408659
8,2.2,70,80,0.02312559
8,2.4,70,80,0.01649665
8,2.6,70,80,0.01561812
8,2.8,70,80,0.01703756
8,3,70,80,0.01911638
8,3.2,70,80,0.02130456
8,3.4,70,80,0.0239325
10,2,70,80,0.07542407
10,2.2,70,80,0.06075823
10,2.4,70,80,0.01036277
10,2.6,70,80,0.00760568
10,2.8,70,80,0.00608578
10,3,70,80,0.00625396
10,3.2,70,80,0.008041
10,3.4,70,80,0.01022354
12,2,70,80,0.12620178
12,2.2,70,80,0.0290457
12,2.4,70,80,-0.00230892
12,2.6,70,80,-0.0070712
12,2.8,70,80,-0.01213241
12,3,70,80,-0.01341657
12,3.2,70,80,-0.01243746
12,3.4,70,80,-0.01052547
14,2,70,80,0.19488678
14,2.2,70,80,0.00258304
14,2.4,70,80,-0.02311155
14,2.6,70,80,-0.03111485
14,2.8,70,80,-0.03968855
14,3,70,80,-0.04170042
14,3.2,70,80,-0.0412726
14,3.4,70,80,-0.03951211
16,2,70,80,0.12988704
16,2.2,70,80,-0.04399013
16,2.4,70,80,-0.05534751
16,2.6,70,80,-0.06924247
16,2.8,70,80,-0.0777536
16,3,70,80,-0.07951968
16,3.2,70,80,-0.07912036
16,3.4,70,80,-0.07746302
18,2,70,80,-0.05588203
18,2.2,70,80,-0.08471775
18,2.4,70,80,-0.10785698
18,2.6,70,80,-0.12320887
18,2.8,70,80,-0.12827129
18,3,70,80,-0.12845608
18,3.2,70,80,-0.12782665
18,3.4,70,80,-0.12485913
20,2,70,80,-0.12400172
20,2.2,70,80,-0.14131213
20,2.4,70,80,-0.18024582
20,2.6,70,80,-0.19018724
20,2.8,70,80,-0.19065985
20,3,70,80,-0.18995281
